Event,Game,AwayTeam,HomeTeam,Start Date,Location,Category,TV,Week
Football,New Hampshire at UCF,New Hampshire,UCF,8/29/2024,Orlando Fla.,Football,ESPN+,1
Football,Lindenwood at Kansas,Lindenwood,Kansas,8/29/2024,Kansas City Kan.,Football,ESPN+,1
Football,North Dakota St. at Colorado,North Dakota St.,Colorado,8/29/2024,Boulder Colo.,Football,ESPN,1
Football,Southern Utah at Utah,Southern Utah,Utah,8/29/2024,Salt Lake City Utah,Football,ESPN+,1
Football,TCU at Stanford,TCU,Stanford,8/30/2024,Palo Alto Calif.,Football,ESPN,1
Football,Penn St. at West Virginia,Penn St.,West Virginia,8/31/2024,Morgantown W.Va.,Football,FOX,1
Football,South Dakota St. at Oklahoma St.,South Dakota St.,Oklahoma St.,8/31/2024,Stillwater Okla.,Football,ESPN+,1
Football,Towson at Cincinnati,Towson,Cincinnati,8/31/2024,Cincinnati Ohio,Football,ESPN+,1
Football,North Dakota at Iowa St.,North Dakota,Iowa St.,8/31/2024,Ames Iowa,Football,FS1,1
Football,Tarleton at Baylor,Tarleton,Baylor,8/31/2024,Waco Texas,Football,ESPN+,1
Football,UT Martin at Kansas St.,UT Martin,Kansas St.,8/31/2024,Manhattan Kan.,Football,ESPN+,1
Football,UNLV at Houston,UNLV,Houston,8/31/2024,Houston Texas,Football,FS1,1
Football,Abilene Christian at Texas Tech,Abilene Christian,Texas Tech,8/31/2024,Lubbock Texas,Football,ESPN+,1
Football,Southern Illinois at BYU,Southern Illinois,BYU,8/31/2024,Provo Utah,Football,ESPN+,1
Football,New Mexico at Arizona,New Mexico,Arizona,8/31/2024,Tucson Ariz.,Football,ESPN,1
Football,Wyoming at Arizona St,Wyoming,Arizona St,8/31/2024,Tempe Ariz.,Football,FS1,1
Football,BYU at SMU,BYU,SMU,9/6/2024,Dallas Texas,Football,ESPN2,2
Football,Kansas St. at Tulane,Kansas St.,Tulane,9/7/2024,New Orleans La.,Football,ESPN/ESPN2,2
Football,Pittsburgh at Cincinnati,Pittsburgh,Cincinnati,9/7/2024,Cincinnati Ohio,Football,ESPN/ESPN2,2
Football,Arkansas at Oklahoma St.,Arkansas,Oklahoma St.,9/7/2024,Stillwater Okla.,Football,ABC,2
Football,Baylor at Utah,Baylor,Utah,9/7/2024,Salt Lake City Utah,Football,FOX,2
Football,Iowa St. at Iowa,Iowa St.,Iowa,9/7/2024,Iowa City Iowa,Football,CBS,2
Football,Albany at West Virginia,Albany,West Virginia,9/7/2024,Morgantown W.Va.,Football,ESPN+,2
Football,Sam Houston at UCF,Sam Houston,UCF,9/7/2024,Orlando Fla.,Football,ESPN+,2
Football,Kansas at Illinois,Kansas,Illinois,9/7/2024,Champaign Ill.,Football,FS1,2
Football,Colorado at Nebraska,Colorado,Nebraska,9/7/2024,Lincoln Neb.,Football,NBC,2
Football,Houston at Oklahoma,Houston,Oklahoma,9/7/2024,Norman Okla.,Football,SECN,2
Football,LIU at TCU,LIU,TCU,9/7/2024,Fort Worth Texas,Football,ESPN+,2
Football,Texas Tech at Washington St.,Texas Tech,Washington St.,9/7/2024,Pullman Wash.,Football,FOX,2
Football,Northern Arizona at Arizona,Northern Arizona,Arizona,9/7/2024,Tucson Ariz.,Football,ESPN+,2
Football,Mississippi St. at Arizona St,Mississippi St.,Arizona St,9/7/2024,Tempe Ariz.,Football,ESPN,2
Football,Arizona St at Texas St.,Arizona St,Texas St.,9/12/2024,San Marcos Texas,Football,ESPN,3
Football,UNLV at Kansas,UNLV,Kansas,9/13/2024,Kansas City Kan.,Football,ESPN,3
Football,Arizona at Kansas St.,Arizona,Kansas St.,9/13/2024,Manhattan Kan.,Football,FOX,3
Football,Cincinnati at Miami (OH),Cincinnati,Miami (OH),9/14/2024,Oxford Ohio,Football,ESPNU,3
Football,North Texas at Texas Tech,North Texas,Texas Tech,9/14/2024,Lubbock Texas,Football,FS1,3
Football,Oklahoma St. at Tulsa,Oklahoma St.,Tulsa,9/14/2024,Tulsa Okla.,Football,ESPN2,3
Football,West Virginia at Pitt,West Virginia,Pitt,9/14/2024,Pittsburgh Pa.,Football,ESPN/ESPN2,3
Football,Utah at Utah St.,Utah,Utah St.,9/14/2024,Logan Utah,Football,CBSSN,3
Football,UCF at TCU,UCF,TCU,9/14/2024,Fort Worth Texas,Football,FOX,3
